,Rank,Champion,Role,Win_Rate
0,Master,Neeko,Top,74.3%
1,Master,Rumble,Top,66.7%
2,Master,Nocturne,Jungle,66.7%
3,Master,Kog'Maw,Bot,61.4%
4,Master,Rumble,Mid,60.1%
5,Master,Xin Zhao,Jungle,60.0%
6,Master,Xerath,Mid,59.7%
7,Master,Talon,Mid,57.9%
8,Master,Ryze,Mid,57.7%
9,Master,Tryndamere,Top,57.7%
10,Master,Galio,Mid,56.9%
11,Master,Udyr,Jungle,56.9%
12,Master,Nasus,Top,56.6%
13,Platinum plus,Gragas,Mid,56.3%
14,Master,Darius,Top,56.2%
15,Master,Cho'Gath,Top,56.0%
16,Master,Ashe,Bot,56.0%
17,Master,Garen,Top,55.9%
18,Master,Seraphine,Mid,55.7%
19,Master,Heimerdinger,Bot,55.6%
20,Platinum plus,Swain,Bot,55.4%
21,Platinum plus,Swain,Mid,55.2%
22,Master,Orianna,Mid,55.0%
23,Master,Karthus,Jungle,54.9%
24,Platinum plus,Maokai,Support,54.8%
25,Platinum plus,Aurelion Sol,Mid,54.8%
26,Master,Hecarim,Jungle,54.5%
27,Master,Senna,Bot,54.4%
28,Master,Gragas,Jungle,54.3%
29,Platinum plus,Heimerdinger,Mid,54.2%
30,Master,Maokai,Support,54.2%
31,Master,Diana,Mid,54.0%
32,Master,Illaoi,Top,54.0%
33,Master,Elise,Jungle,53.8%
34,Master,Pantheon,Mid,53.8%
35,Master,Janna,Support,53.7%
36,Iron plus,Rammus,Jungler,53.6%
37,Platinum plus,Malphite,Mid,53.6%
38,Master,Zoe,Mid,53.6%
39,Platinum plus,Seraphine,Mid,53.5%
40,Platinum plus,Ivern,Jungle,53.4%
41,Platinum plus,Annie,Mid,53.4%
42,Platinum plus,Fiddlesticks,Jungle,53.4%
43,Master,Lissandra,Mid,53.4%
44,Master,Skarner,Jungle,53.4%
45,Iron plus,Malzahar,Mid,53.3%
46,Platinum plus,Cho'Gath,Top,53.3%
47,Master,Sona,Support,53.2%
48,Master,Urgot,Top,53.2%
49,Platinum plus,Anivia,Mid,53.2%
50,Iron plus,Skarner,Jungler,53.2%
51,Master,Wukong,Top,53.1%
52,Master,Kindred,Jungle,53.1%
53,Master,Vel'Koz,Mid,53.0%
54,Master,Jayce,Top,53.0%
55,Master,Sion,Top,53.0%
56,Master,Volibear,Top,53.0%
57,Platinum plus,Nunu & Willump,Jungle,53.0%
58,Master,Kayle,Mid,52.9%
59,Platinum plus,Malzahar,Mid,52.9%
60,Iron plus,Swain,Support,52.9%
61,Iron plus,Maokai,Support,52.9%
62,Platinum plus,Fizz,Mid,52.8%
63,Master,Gnar,Top,52.8%
64,Master,Kalista,Bot,52.8%
65,Master,Sivir,Bot,52.8%
66,Master,Olaf,Jungle,52.8%
67,Iron plus,Elise,Jungler,52.8%
68,Platinum plus,Viktor,Mid,52.7%
69,Master,Katarina,Mid,52.7%
70,Iron plus,Vi,Jungler,52.7%
71,Platinum plus,Rammus,Jungle,52.7%
72,Platinum plus,Elise,Jungle,52.7%
73,Master,Shaco,Support,52.6%
74,Platinum plus,Pantheon,Mid,52.5%
75,Platinum plus,Seraphine,Support,52.5%
76,Platinum plus,Zilean,Support,52.5%
77,Platinum plus,Quinn,Top,52.5%
78,Platinum plus,Udyr,Jungle,52.5%
79,Iron plus,Fizz,Mid,52.5%
80,Iron plus,Anivia,Mid,52.5%
81,Iron plus,Viktor,Mid,52.4%
82,Platinum plus,Garen,Top,52.4%
83,Platinum plus,Olaf,Jungle,52.4%
84,Master,Karthus,Bot,52.3%
85,Platinum plus,Diana,Mid,52.3%
86,Iron plus,Brand,Support,52.3%
87,Iron plus,Ivern,Jungler,52.3%
88,Iron plus,Nami,Support,52.3%
89,Iron plus,Jhin,AD Carry,52.3%
90,Platinum plus,Darius,Top,52.3%
91,Iron plus,Malphite,"Top, Support",52.2%
92,Iron plus,Yorick,Top,52.2%
93,Master,Rengar,Top,52.2%
94,Master,Pantheon,Support,52.2%
95,Platinum plus,Jhin,Bot,52.2%
96,Platinum plus,Ekko,Mid,52.2%
97,Platinum plus,Hecarim,Jungle,52.2%
98,Master,Caitlyn,Bot,52.1%
99,Iron plus,Annie,Mid,52.1%
100,Iron plus,Kled,Top,52.1%
101,Master,Blitzcrank,Support,52.1%
102,Iron plus,Nasus,Top,52.1%
103,Master,Twitch,Bot,52.0%
104,Iron plus,Urgot,Top,52.0%
105,Master,Rakan,Support,52.0%
106,Master,Nunu & Willump,Jungle,52.0%
107,Platinum plus,Nasus,Top,52.0%
108,Platinum plus,Karthus,Jungle,52.0%
109,Master,Quinn,Top,51.9%
110,Iron plus,Sion,Top,51.9%
111,Master,Warwick,Top,51.9%
112,Platinum plus,Bard,Support,51.9%
113,Iron plus,Diana,Mid,51.9%
114,Iron plus,Nunu & Willump,Jungler,51.9%
115,Platinum plus,Wukong,Top,51.9%
116,Platinum plus,Galio,Mid,51.9%
117,Iron plus,Ekko,"Jungler, Mid",51.9%
118,Iron plus,Fiddlesticks,Jungler,51.9%
119,Platinum plus,Heimerdinger,Top,51.8%
120,Platinum plus,Janna,Support,51.8%
121,Iron plus,Zilean,Support,51.8%
122,Iron plus,Tristana,AD Carry,51.8%
123,Iron plus,Leona,Support,51.8%
124,Master,Pantheon,Jungle,51.8%
125,Master,Xayah,Bot,51.8%
126,Platinum plus,Skarner,Jungle,51.8%
127,Platinum plus,Shaco,Support,51.8%
128,Iron plus,Udyr,Jungler,51.7%
129,Iron plus,Zyra,Support,51.7%
130,Iron plus,Seraphine,Support,51.7%
131,Iron plus,Wukong,"Top, Jungler",51.7%
132,Master,Gragas,Support,51.7%
133,Master,Ahri,Mid,51.7%
134,Master,Alistar,Support,51.7%
135,Master,Evelynn,Jungle,51.7%
136,Platinum plus,Vel'Koz,Mid,51.7%
137,Platinum plus,Brand,Mid,51.7%
138,Platinum plus,Rell,Support,51.7%
139,Platinum plus,Kha'Zix,Jungle,51.6%
140,Platinum plus,Kled,Top,51.6%
141,Platinum plus,Vayne,Bot,51.6%
142,Iron plus,Teemo,Top,51.5%
143,Platinum plus,Corki,Mid,51.5%
144,Platinum plus,Galio,Support,51.5%
145,Platinum plus,Volibear,Top,51.5%
146,Iron plus,Garen,Top,51.5%
147,Platinum plus,Camille,Top,51.5%
148,Master,Camille,Top,51.5%
149,Master,Miss Fortune,Bot,51.5%
150,Iron plus,Amumu,Jungler,51.4%
151,Platinum plus,Pantheon,Top,51.4%
152,Master,Galio,Support,51.4%
153,Platinum plus,Rumble,Mid,51.4%
154,Master,Ekko,Mid,51.3%
155,Iron plus,Galio,"Mid, Support",51.3%
156,Platinum plus,Malphite,Top,51.3%
157,Platinum plus,Cassiopeia,Mid,51.3%
158,Master,Morgana,Support,51.3%
159,Iron plus,Heimerdinger,"Mid, Top",51.3%
160,Iron plus,Miss Fortune,AD Carry,51.3%
161,Master,Zed,Mid,51.2%
162,Platinum plus,Ahri,Mid,51.2%
163,Platinum plus,Kog'Maw,Bot,51.2%
164,Platinum plus,Nami,Support,51.2%
165,Platinum plus,Miss Fortune,Bot,51.2%
166,Platinum plus,Alistar,Support,51.2%
167,Platinum plus,Ekko,Jungle,51.2%
168,Iron plus,Janna,Support,51.2%
169,Master,Twisted Fate,Mid,51.2%
170,Iron plus,Olaf,Jungler,51.2%
171,Iron plus,Quinn,Top,51.2%
172,Iron plus,Master Yi,Jungler,51.2%
173,Master,Bard,Support,51.2%
174,Iron plus,Sona,Support,51.1%
175,Iron plus,Hecarim,Jungler,51.1%
176,Master,Nami,Support,51.1%
177,Master,Viktor,Mid,51.1%
178,Master,Kai'Sa,Bot,51.1%
179,Iron plus,Alistar,Support,51.1%
180,Platinum plus,Twitch,Bot,51.1%
181,Iron plus,Lulu,Support,51.1%
182,Platinum plus,Illaoi,Top,51.1%
183,Iron plus,Kai'Sa,AD Carry,51.0%
184,Master,Thresh,Support,51.0%
185,Master,Jhin,Bot,51.0%
186,Platinum plus,Neeko,Mid,51.0%
187,Iron plus,Illaoi,Top,50.9%
188,Iron plus,Shen,Top,50.9%
189,Iron plus,Vayne,"AD Carry, Top",50.9%
190,Iron plus,Kha'Zix,Jungler,50.9%
191,Iron plus,Warwick,Jungler,50.9%
192,Master,Tristana,Bot,50.9%
193,Platinum plus,Ziggs,Mid,50.9%
194,Platinum plus,Urgot,Top,50.9%
195,Platinum plus,Tristana,Bot,50.9%
196,Platinum plus,Sion,Top,50.9%
197,Platinum plus,Ornn,Top,50.8%
198,Platinum plus,Vi,Jungle,50.8%
199,Platinum plus,Kai'Sa,Bot,50.8%
200,Platinum plus,Pantheon,Jungle,50.8%
201,Platinum plus,Warwick,Top,50.8%
202,Platinum plus,Rengar,Top,50.8%
203,Platinum plus,Leona,Support,50.8%
204,Iron plus,Nautilus,Support,50.8%
205,Master,Jax,Top,50.8%
206,Master,Yuumi,Support,50.8%
207,Iron plus,Sejuani,Jungler,50.7%
208,Iron plus,Kennen,Top,50.7%
209,Platinum plus,Sona,Support,50.7%
210,Platinum plus,Singed,Top,50.7%
211,Platinum plus,Vladimir,Mid,50.7%
212,Iron plus,Morgana,Support,50.7%
213,Iron plus,Ahri,Mid,50.7%
214,Iron plus,Bard,Support,50.7%
215,Iron plus,Vel'Koz,"Support, Mid",50.7%
216,Iron plus,Neeko,"Mid, Support",50.6%
217,Iron plus,Cho'Gath,Top,50.6%
218,Platinum plus,Poppy,Top,50.6%
219,Platinum plus,Maokai,Top,50.6%
220,Platinum plus,Evelynn,Jungle,50.6%
221,Iron plus,Darius,Top,50.6%
222,Master,Neeko,Mid,50.6%
223,Master,Annie,Mid,50.6%
224,Iron plus,Xerath,"Support, Mid",50.6%
225,Platinum plus,Thresh,Support,50.5%
226,Iron plus,Taric,Support,50.5%
227,Iron plus,Ornn,Top,50.5%
228,Iron plus,Pantheon,"Support, Mid, Top",50.5%
229,Platinum plus,Xerath,Mid,50.5%
230,Platinum plus,Vel'Koz,Support,50.5%
231,Platinum plus,Yorick,Top,50.5%
232,Iron plus,Kayle,Top,50.5%
233,Iron plus,Volibear,"Top, Jungler",50.5%
234,Master,Zilean,Support,50.5%
235,Master,Malzahar,Mid,50.4%
236,Iron plus,Shaco,"Jungler, Support",50.4%
237,Master,Qiyana,Mid,50.4%
238,Master,Seraphine,Support,50.4%
239,Iron plus,Poppy,"Top, Jungler",50.4%
240,Iron plus,Blitzcrank,Support,50.4%
241,Iron plus,Rell,Support,50.4%
242,Iron plus,Lissandra,Mid,50.3%
243,Platinum plus,Taliyah,Jungle,50.3%
244,Platinum plus,Lissandra,Mid,50.3%
245,Platinum plus,Lulu,Support,50.3%
246,Platinum plus,Gragas,Top,50.3%
247,Platinum plus,Blitzcrank,Support,50.3%
248,Platinum plus,Gragas,Jungle,50.3%
249,Platinum plus,Kennen,Top,50.2%
250,Platinum plus,Kassadin,Mid,50.2%
251,Platinum plus,Lux,Mid,50.2%
252,Iron plus,Camille,Top,50.2%
253,Platinum plus,Gnar,Top,50.1%
254,Platinum plus,Twisted Fate,Mid,50.1%
255,Platinum plus,Teemo,Top,50.1%
256,Platinum plus,Sejuani,Jungle,50.1%
257,Iron plus,Aurelion Sol,Mid,50.1%
258,Iron plus,Karthus,Jungler,50.1%
259,Iron plus,Braum,Support,50.1%
260,Master,Swain,Support,50.0%
261,Iron plus,Ziggs,Mid,50.0%
262,Master,Renekton,Top,50.0%
263,Iron plus,Zac,Jungler,50.0%
264,Platinum plus,Ashe,Bot,50.0%
265,Platinum plus,Xin Zhao,Jungle,50.0%
266,Platinum plus,Brand,Support,50.0%
267,Iron plus,Lux,"Support, Mid",49.9%
268,Platinum plus,Shen,Top,49.9%
269,Iron plus,Kayn,Jungler,49.9%
270,Iron plus,Ashe,"AD Carry, Support",49.9%
271,Iron plus,Jarvan IV,Jungler,49.9%
272,Iron plus,Kassadin,Mid,49.8%
273,Platinum plus,Kayle,Top,49.8%
274,Platinum plus,Amumu,Jungle,49.8%
275,Master,Kassadin,Mid,49.8%
276,Master,Irelia,Top,49.7%
277,Platinum plus,Wukong,Jungle,49.7%
278,Platinum plus,Yuumi,Support,49.7%
279,Platinum plus,Morgana,Support,49.7%
280,Master,Lillia,Jungle,49.7%
281,Master,Rengar,Jungle,49.7%
282,Master,Nautilus,Support,49.7%
283,Master,Malphite,Top,49.7%
284,Master,Braum,Support,49.7%
285,Platinum plus,Rek'Sai,Jungle,49.7%
286,Iron plus,Thresh,Support,49.7%
287,Iron plus,Cassiopeia,Mid,49.7%
288,Iron plus,Taliyah,Jungler,49.7%
289,Platinum plus,Jinx,Bot,49.6%
290,Platinum plus,Draven,Bot,49.6%
291,Platinum plus,Poppy,Jungle,49.6%
292,Master,Rell,Support,49.6%
293,Master,Vladimir,Mid,49.6%
294,Master,Fizz,Mid,49.6%
295,Iron plus,Veigar,Mid,49.5%
296,Platinum plus,Swain,Support,49.5%
297,Platinum plus,Kayn,Jungle,49.5%
298,Platinum plus,Nautilus,Support,49.5%
299,Iron plus,Gragas,"Jungler, Top",49.5%
300,Iron plus,Yasuo,Mid,49.5%
301,Iron plus,Fiora,Top,49.5%
302,Master,Zac,Jungle,49.5%
303,Iron plus,Zed,Mid,49.5%
304,Iron plus,Nocturne,Jungler,49.5%
305,Iron plus,Evelynn,Jungler,49.5%
306,Iron plus,Jax,"Top, Jungler",49.4%
307,Iron plus,Jinx,AD Carry,49.4%
308,Iron plus,Kog'Maw,AD Carry,49.4%
309,Master,Brand,Support,49.4%
310,Iron plus,Renekton,Top,49.4%
311,Platinum plus,Warwick,Jungle,49.4%
312,Platinum plus,Talon,Mid,49.4%
313,Master,Taliyah,Jungle,49.3%
314,Master,Lucian,Bot,49.3%
315,Master,Swain,Bot,49.3%
316,Master,Taric,Support,49.3%
317,Master,Pyke,Support,49.3%
318,Platinum plus,Taric,Support,49.3%
319,Platinum plus,Jax,Top,49.3%
320,Iron plus,Sett,"Top, Support",49.3%
321,Platinum plus,Sivir,Bot,49.2%
322,Platinum plus,Jayce,Mid,49.2%
323,Platinum plus,Vladimir,Top,49.2%
324,Iron plus,Rek'Sai,Jungler,49.2%
325,Iron plus,Graves,Jungler,49.2%
326,Iron plus,Xin Zhao,Jungler,49.2%
327,Iron plus,Gnar,Top,49.2%
328,Master,Swain,Mid,49.1%
329,Platinum plus,Zed,Mid,49.1%
330,Iron plus,Katarina,Mid,49.1%
331,Iron plus,Mordekaiser,Top,49.1%
332,Iron plus,Yone,"Mid, Top",49.1%
333,Platinum plus,Riven,Top,49.1%
334,Platinum plus,Braum,Support,49.1%
335,Iron plus,Tryndamere,Top,49.0%
336,Master,Vayne,Bot,49.0%
337,Platinum plus,Yone,Mid,49.0%
338,Platinum plus,Katarina,Mid,49.0%
339,Platinum plus,Zyra,Support,49.0%
340,Platinum plus,Ashe,Support,49.0%
341,Master,Syndra,Mid,49.0%
342,Platinum plus,Jarvan IV,Jungle,48.9%
343,Iron plus,Vladimir,"Mid, Top",48.9%
344,Iron plus,Yuumi,Support,48.9%
345,Master,Ekko,Jungle,48.9%
346,Iron plus,Rakan,Support,48.9%
347,Iron plus,Shyvana,Jungler,48.8%
348,Platinum plus,Lux,Support,48.8%
349,Platinum plus,Shaco,Jungle,48.8%
350,Platinum plus,Rakan,Support,48.8%
351,Platinum plus,Sett,Top,48.8%
352,Master,Pantheon,Top,48.8%
353,Master,Riven,Top,48.8%
354,Master,Rek'Sai,Jungle,48.8%
355,Iron plus,Samira,AD Carry,48.7%
356,Platinum plus,Jayce,Top,48.7%
357,Iron plus,Corki,Mid,48.7%
358,Iron plus,Rumble,"Top, Mid",48.7%
359,Platinum plus,Fiora,Top,48.7%
360,Platinum plus,Volibear,Jungle,48.7%
361,Platinum plus,Mordekaiser,Top,48.7%
362,Platinum plus,Sylas,Top,48.7%
363,Platinum plus,Zac,Jungle,48.6%
364,Master,Corki,Mid,48.6%
365,Master,Zilean,Mid,48.6%
366,Master,Lee Sin,Jungle,48.6%
367,Master,Kayn,Jungle,48.6%
368,Master,Aurelion Sol,Mid,48.6%
369,Iron plus,Orianna,Mid,48.6%
370,Master,Nidalee,Jungle,48.6%
371,Platinum plus,Aatrox,Top,48.5%
372,Iron plus,Twitch,AD Carry,48.5%
373,Iron plus,Jayce,"Top, Mid",48.5%
374,Master,Master Yi,Jungle,48.4%
375,Master,Zyra,Support,48.4%
376,Master,Yasuo,Bot,48.4%
377,Platinum plus,Tryndamere,Top,48.4%
378,Platinum plus,Xerath,Support,48.4%
379,Iron plus,Aatrox,Top,48.4%
380,Iron plus,Singed,Top,48.4%
381,Platinum plus,Veigar,Mid,48.3%
382,Platinum plus,Qiyana,Mid,48.3%
383,Iron plus,Lillia,Jungler,48.3%
384,Master,Draven,Bot,48.3%
385,Master,Shen,Top,48.3%
386,Iron plus,Draven,AD Carry,48.3%
387,Iron plus,Trundle,"Jungler, Top",48.3%
388,Platinum plus,Master Yi,Jungle,48.2%
389,Platinum plus,Yone,Top,48.2%
390,Master,Fiora,Top,48.2%
391,Master,Kha'Zix,Jungle,48.2%
392,Master,Fiddlesticks,Jungle,48.2%
393,Iron plus,Kindred,Jungler,48.2%
394,Master,Rammus,Jungle,48.2%
395,Master,Anivia,Mid,48.1%
396,Master,Graves,Jungle,48.1%
397,Master,Gangplank,Top,48.1%
398,Platinum plus,Sylas,Mid,48.1%
399,Platinum plus,Renekton,Top,48.1%
400,Platinum plus,Lucian,Bot,48.1%
401,Platinum plus,Lillia,Jungle,48.1%
402,Iron plus,Soraka,Support,48.1%
403,Iron plus,Xayah,AD Carry,48.0%
404,Iron plus,Lucian,"AD Carry, Mid",48.0%
405,Iron plus,Sylas,"Mid, Top",48.0%
406,Platinum plus,Yasuo,Mid,48.0%
407,Platinum plus,Zoe,Mid,48.0%
408,Master,Poppy,Top,48.0%
409,Master,Sett,Top,47.9%
410,Master,Gragas,Top,47.9%
411,Master,Cassiopeia,Mid,47.9%
412,Master,Aphelios,Bot,47.9%
413,Iron plus,Dr. Mundo,"Jungler, Top",47.9%
414,Iron plus,Talon,Mid,47.9%
415,Platinum plus,Rumble,Top,47.8%
416,Platinum plus,Nidalee,Jungle,47.8%
417,Iron plus,Pyke,Support,47.8%
418,Platinum plus,Rengar,Jungle,47.8%
419,Platinum plus,Caitlyn,Bot,47.8%
420,Platinum plus,Karma,Support,47.8%
421,Platinum plus,Aphelios,Bot,47.8%
422,Master,Leona,Support,47.8%
423,Iron plus,Riven,Top,47.8%
424,Master,Lulu,Support,47.7%
425,Iron plus,Sivir,AD Carry,47.7%
426,Iron plus,Twisted Fate,Mid,47.7%
427,Master,Yorick,Top,47.7%
428,Iron plus,LeBlanc,Mid,47.7%
429,Iron plus,Caitlyn,AD Carry,47.7%
430,Platinum plus,Yasuo,Top,47.7%
431,Platinum plus,Gangplank,Top,47.7%
432,Platinum plus,Orianna,Mid,47.7%
433,Platinum plus,Kalista,Bot,47.6%
434,Platinum plus,LeBlanc,Mid,47.6%
435,Platinum plus,Shyvana,Jungle,47.6%
436,Platinum plus,Xayah,Bot,47.6%
437,Master,Twitch,Support,47.5%
438,Platinum plus,Trundle,Jungle,47.5%
439,Platinum plus,Graves,Jungle,47.5%
440,Platinum plus,Kindred,Jungle,47.5%
441,Platinum plus,Jax,Jungle,47.5%
442,Iron plus,Tahm Kench,"Top, Support",47.4%
443,Master,Vladimir,Top,47.4%
444,Platinum plus,Ryze,Top,47.4%
445,Master,Ashe,Support,47.4%
446,Master,Akali,Mid,47.4%
447,Platinum plus,Nocturne,Jungle,47.3%
448,Platinum plus,Samira,Bot,47.3%
449,Platinum plus,Azir,Mid,47.3%
450,Master,Singed,Top,47.3%
451,Iron plus,Rengar,"Jungler, Top",47.2%
452,Iron plus,Syndra,Mid,47.2%
453,Master,Kennen,Top,47.2%
454,Master,Ezreal,Bot,47.2%
455,Iron plus,Zoe,Mid,47.1%
456,Platinum plus,Pantheon,Support,47.1%
457,Iron plus,Aphelios,AD Carry,47.1%
458,Platinum plus,Ezreal,Bot,47.0%
459,Platinum plus,Irelia,Top,47.0%
460,Platinum plus,Soraka,Support,47.0%
461,Master,Yone,Mid,47.0%
462,Iron plus,Lee Sin,Jungler,47.0%
463,Iron plus,Varus,AD Carry,47.0%
464,Iron plus,Ezreal,AD Carry,46.9%
465,Master,Lux,Mid,46.9%
466,Iron plus,Akali,"Mid, Top",46.9%
467,Platinum plus,Senna,Bot,46.8%
468,Iron plus,Ryze,"Mid, Top",46.8%
469,Iron plus,Kalista,AD Carry,46.7%
470,Platinum plus,Tahm Kench,Top,46.7%
471,Platinum plus,Lee Sin,Jungle,46.7%
472,Master,Ornn,Top,46.7%
473,Master,Yasuo,Mid,46.7%
474,Platinum plus,Syndra,Mid,46.7%
475,Master,Ivern,Jungle,46.7%
476,Iron plus,Irelia,"Top, Mid",46.6%
477,Master,Karma,Support,46.6%
478,Platinum plus,Ryze,Mid,46.6%
479,Master,Maokai,Top,46.5%
480,Master,Senna,Support,46.5%
481,Master,Xerath,Support,46.5%
482,Iron plus,Senna,"Support, AD Carry",46.5%
483,Iron plus,Karma,Support,46.5%
484,Platinum plus,Pyke,Support,46.5%
485,Master,Yasuo,Top,46.4%
486,Master,Lucian,Top,46.3%
487,Platinum plus,Akali,Mid,46.2%
488,Platinum plus,Dr. Mundo,Jungle,46.2%
489,Master,Samira,Bot,46.2%
490,Master,Akali,Top,46.1%
491,Iron plus,Nidalee,Jungler,46.0%
492,Master,Yone,Top,45.9%
493,Master,Aatrox,Top,45.9%
494,Platinum plus,Lucian,Mid,45.9%
495,Platinum plus,Varus,Bot,45.9%
496,Master,Jarvan IV,Jungle,45.8%
497,Iron plus,Gangplank,Top,45.8%
498,Master,Vi,Jungle,45.6%
499,Master,Azir,Mid,45.6%
500,Platinum plus,Akali,Top,45.4%
501,Platinum plus,Senna,Support,45.2%
502,Master,Shaco,Jungle,45.1%
503,Master,Veigar,Mid,45.1%
504,Master,Tristana,Mid,45.0%
505,Master,Lucian,Mid,44.9%
506,Master,Mordekaiser,Top,44.9%
507,Platinum plus,Dr. Mundo,Top,44.9%
508,Platinum plus,Irelia,Mid,44.8%
509,Master,Lux,Support,44.7%
510,Master,Ziggs,Bot,44.7%
511,Platinum plus,Sett,Support,44.5%
512,Master,Teemo,Top,44.4%
513,Master,Vel'Koz,Support,44.4%
514,Platinum plus,Twitch,Support,44.3%
515,Iron plus,Qiyana,Mid,44.3%
516,Iron plus,Azir,Mid,44.3%
517,Master,Jinx,Bot,44.2%
518,Master,Sylas,Mid,44.1%
519,Master,LeBlanc,Mid,43.9%
520,Master,Sylas,Top,43.8%
521,Master,Poppy,Jungle,43.4%
522,Master,Karthus,Mid,43.1%
523,Master,Ryze,Top,42.9%
524,Master,Kled,Top,42.8%
525,Master,Warwick,Jungle,42.7%
526,Master,Kayle,Top,42.2%
527,Master,Heimerdinger,Top,42.1%
528,Master,Trundle,Jungle,41.2%
529,Master,Volibear,Jungle,39.7%
530,Master,Sett,Support,39.1%
531,Master,Soraka,Support,38.8%
532,Master,Sejuani,Jungle,38.8%
533,Master,Irelia,Mid,38.8%
534,Master,Cassiopeia,Top,38.2%
535,Master,Jayce,Mid,37.3%
536,Master,Heimerdinger,Mid,35.7%
537,Master,Ziggs,Mid,35.3%
538,Master,Amumu,Jungle,33.3%
539,Master,Varus,Bot,31.3%
540,Master,Pyke,Mid,31.0%
